CODPROD;FECHAVIG;PRECIOV
2171;01/12/2004;38
2171;10/08/2005;40
2171;18/10/2006;42
2171;16/01/2011;55
2172;12/09/2002;35
2172;01/08/2003;35
2172;01/12/2004;38
2172;10/08/2005;40
2172;18/10/2006;42
2172;23/07/2007;43
2172;21/02/2008;47
2172;27/10/2008;50
2172;12/10/2009;55
2173;12/09/2002;35
2173;01/08/2003;35
2173;01/12/2004;38
2173;10/08/2005;40
2173;18/10/2006;42
2173;23/07/2007;43
2173;21/02/2008;47
2173;27/10/2008;50
2173;01/02/2010;55
2174;12/09/2002;35
2174;01/08/2003;35
2174;01/12/2004;38
2174;10/08/2005;40
2174;18/10/2006;42
2174;23/07/2007;43
2174;21/02/2008;47
2174;27/10/2008;50
2174;12/10/2009;55
2175;12/09/2002;35
2175;01/08/2003;35
2175;01/12/2004;38
2175;10/08/2005;40
2175;18/10/2006;42
2175;23/07/2007;43
2175;21/02/2008;47
2175;27/10/2008;50
2175;12/10/2009;55
2176;12/09/2002;35
2176;01/08/2003;35
2176;01/12/2004;38
2176;10/08/2005;40
2176;21/02/2008;47
2176;27/10/2008;50
2177;12/09/2002;35
2177;01/08/2003;35
2177;01/12/2004;38
2177;10/08/2005;40
2177;01/12/2006;42
2177;09/10/2007;43
2177;21/02/2008;47
2177;27/10/2008;50
2177;01/03/2010;55
2178;12/09/2002;35
2178;01/08/2003;35
2178;01/12/2004;38
2178;10/08/2005;40
2179;12/09/2002;35
2179;01/08/2003;35
2179;01/12/2004;38
2179;10/08/2005;40
2180;12/09/2002;35
2180;01/08/2003;35
2180;01/12/2004;38
2180;10/08/2005;40
2181;01/04/2003;35
2181;01/08/2003;35
2181;01/12/2004;38
2181;10/08/2005;40
2181;21/02/2008;47
2181;27/10/2008;50
2182;12/03/2003;35
2182;01/08/2003;35
2182;01/12/2004;38
2182;10/08/2005;40
2182;21/02/2008;47
2182;27/10/2008;50
2182;01/02/2010;55
2183;08/09/2003;40
2184;08/09/2003;40
2185;08/09/2003;40
2186;12/08/2005;40
2186;01/07/2007;42
2186;10/10/2007;43
2186;21/02/2008;47
2186;27/10/2008;50
2186;01/01/2010;55
2187;10/08/2005;40
2187;21/02/2008;47
2187;27/10/2008;50
2188;27/08/2005;40
2188;18/10/2006;42
2188;23/07/2007;43
2188;16/01/2011;55
2189;27/08/2005;40
2189;18/10/2006;42
2189;16/01/2011;55
2190;27/09/2002;40
2190;01/08/2003;40
2190;13/05/2006;43
2190;18/10/2006;43
2190;16/05/2007;50
2190;21/02/2008;56,5
2190;21/05/2008;56,5
2190;27/10/2008;57
2190;12/10/2009;60
2190;20/05/2010;61
2190;11/05/2011;60
2191;10/05/2005;35
2191;18/10/2006;35
2191;16/05/2007;40
2191;21/02/2008;46,5
2191;21/05/2008;46,5
2191;27/10/2008;50
2191;12/10/2009;55
2191;20/05/2010;51
2191;11/05/2011;51
2191;19/05/2012;54
2192;19/12/2009;50
2193;16/03/2011;45
2194;16/03/2011;45
2195;16/03/2011;45
2195;01/03/2012;55
2195;19/05/2012;55
2196;16/03/2011;45
2196;01/03/2012;53
2197;21/12/2010;40
2197;11/05/2011;41
2198;27/10/2008;40
2198;17/12/2010;40
2198;19/12/2011;50
2199;21/05/2008;50
2199;20/05/2009;50
2199;12/10/2009;55
2199;20/05/2010;51
2199;19/05/2012;54
2200;27/09/2002;26
2200;01/08/2003;26
2200;18/10/2006;26
2200;16/05/2007;35
2200;21/02/2008;36,5
2200;21/05/2008;36,5
2200;27/10/2008;40
2200;12/10/2009;43
2200;17/01/2011;40
2200;11/05/2011;43
2201;01/04/2003;16
2201;02/04/2003;16
2201;01/08/2003;16
2201;01/03/2012;50
2202;16/05/2007;43
2202;21/08/2007;44
2202;21/02/2008;56,5
2202;21/05/2008;56,5
2202;27/10/2008;50
2202;12/10/2009;55
2202;20/05/2010;51
2202;11/05/2011;51
2202;19/05/2012;54
2203;16/05/2007;43
2203;21/08/2007;44
2203;21/02/2008;56,5
2203;21/05/2008;56,5
2203;27/10/2008;50
2203;12/10/2009;55
2203;20/05/2010;51
2203;11/05/2011;51
2203;19/05/2012;54
2204;16/12/2010;40
2204;17/12/2010;40
2205;17/12/2010;40
2205;19/12/2011;50
2206;27/10/2008;20
2206;17/12/2010;40
2207;22/10/2010;30
2208;21/05/2008;56,5
2209;19/05/2010;41
2210;19/05/2010;4,5
2211;20/05/2010;26
2211;16/01/2011;35
2212;20/05/2010;15
2213;20/05/2010;15
2214;21/07/2010;15
2215;12/05/2011;35
2216;19/10/2011;40
2217;19/10/2011;40
2217;26/10/2012;43,68
2218;19/10/2011;40
2218;26/10/2012;43,68
2219;17/12/2011;42
2220;12/09/2002;12
2220;01/08/2003;12
2221;24/07/2006;3
2221;08/01/2007;3,5
2221;23/04/2007;3,6
2221;23/07/2007;3,6
2221;27/11/2007;3,7
2221;18/03/2008;5
2221;10/09/2008;4,5
2221;11/12/2008;4
2221;12/10/2009;4,1
2221;13/10/2009;3,9
2221;20/02/2011;4,4
2222;12/09/2002;12
2222;01/08/2003;12
2222;16/11/2006;4
2222;23/04/2007;4,2
2222;23/07/2007;4,5
2222;27/11/2007;4,5
2222;18/03/2008;5,4
2222;10/09/2008;5
2222;09/11/2009;4,5
2222;21/02/2011;5,5
2223;12/09/2002;12
2223;01/08/2003;12
2223;17/03/2009;5,2
2223;12/10/2009;6
2223;13/10/2009;5,5
2224;12/09/2002;12
2224;01/08/2003;12
2224;01/04/2006;5
2224;14/07/2006;4
2224;08/01/2007;4,5
2224;23/07/2007;5,5
2224;27/11/2007;5,5
2224;18/03/2008;6,5
2224;17/03/2009;5,2
2224;12/10/2009;6
2224;13/10/2009;5,5
2225;01/03/2006;3,2
2225;29/03/2006;2,9
2225;16/10/2006;2,9
2225;08/01/2007;3,1
2225;06/02/2007;2,9
2225;11/02/2007;3,1
2225;23/04/2007;3,3
2225;23/07/2007;3,4
2225;13/08/2007;3,5
2225;27/11/2007;3,6
2225;18/03/2008;4,3
2225;10/09/2008;4
2225;12/10/2009;3,8
2225;13/10/2009;4
2225;21/02/2011;4
2225;10/06/2011;4,3
2226;24/07/2006;3
2226;08/01/2007;3,5
2226;23/04/2007;3,6
2226;23/07/2007;3,6
2226;27/11/2007;3,7
2226;18/03/2008;5
2226;10/09/2008;4,5
2226;03/12/2008;4
2226;12/10/2009;4,2
2226;13/10/2009;3,9
2226;01/01/2012;4,4
2227;01/06/2006;1,6
2227;08/01/2007;1,8
2227;23/04/2007;2
2227;23/07/2007;2
2227;27/11/2007;2,1
2227;18/03/2008;2,4
2227;10/09/2008;2
2227;07/11/2008;1,667
2227;12/10/2009;1,8
2227;14/05/2010;1,55
2227;21/02/2011;1,8
2228;01/06/2006;1,6
2228;08/01/2007;1,8
2228;23/04/2007;2
2228;23/07/2007;2
2228;27/11/2007;2,1
2228;18/03/2008;2,4
2228;10/09/2008;2
2228;07/11/2008;1,667
2228;12/10/2009;1,8
2228;14/05/2010;1,55
2228;21/02/2011;1,8
2229;01/06/2006;1,6
2229;08/01/2007;1,8
2229;23/04/2007;2
2229;23/07/2007;2
2229;27/11/2007;2,1
2229;18/03/2008;2,4
2229;10/09/2008;2
2229;07/11/2008;1,667
2229;12/10/2009;1,8
2229;14/05/2010;1,55
2229;21/02/2011;1,8
2230;12/09/2002;0,35
2230;01/08/2003;0,35
