CODPROD;FECHAVIG;PRECIOV
3001;27/10/2008;72,5
3001;12/10/2009;72,5
3001;30/12/2009;75
3002;19/11/2004;55
3002;01/12/2004;45
3002;02/12/2004;55
3002;10/08/2005;55
3002;18/10/2006;55
3002;21/02/2008;62,5
3002;27/10/2008;72,5
3002;12/10/2009;72,5
3002;30/12/2009;75
3004;24/05/2004;0,8
3005;29/09/2004;50
3005;02/12/2004;55
3005;01/10/2005;55
3005;18/10/2006;55
3005;21/02/2008;62,5
3005;27/10/2008;72,5
3005;12/10/2009;72,5
3005;30/12/2009;75
3006;24/09/2005;9
3006;20/06/2007;11
3006;17/12/2007;9
3007;01/07/2006;7,5
3008;29/11/2006;11,5
3010;03/12/2008;10
3011;01/02/2010;9
3012;28/05/2010;9
3015;20/05/2009;17,5
3016;09/12/2009;12
3017;09/12/2009;11
3018;23/03/2010;2,2
3019;23/03/2010;2,2
3020;20/04/2010;2
3021;24/04/2010;2
3022;27/04/2010;1
3023;30/04/2010;2
3024;28/09/2002;0
3026;25/05/2012;16,8
3027;25/05/2012;16,8
3028;25/05/2012;16,8
3029;15/05/2012;16,8
4000;28/09/2002;0
4001;29/03/2003;0,02683
4002;29/03/2003;0,019
4003;29/03/2003;0,02029
4004;29/03/2003;0,0282
4015;15/06/2010;2,15
4030;01/09/2007;3,7
4031;01/09/2007;3,7
4032;01/09/2007;3,7
4034;01/11/2007;3,7
5023;01/04/2007;1,245
5023;21/02/2008;47
5093;01/04/2007;86,711
5093;21/02/2008;47
5094;01/04/2007;72,331
5094;21/02/2008;47
5096;01/04/2007;72,329
5096;21/02/2008;47
5105;01/04/2007;1,25
5105;21/02/2008;47
5110;01/04/2007;0,83
5110;15/06/2007;0,4
5110;21/02/2008;47
5152;01/04/2007;18,93
5287;01/04/2007;2,5
5287;21/02/2008;47
5297;01/04/2007;3,5
5297;15/06/2007;1,75
5297;21/02/2008;47
5325;01/04/2007;1,448
5356;01/04/2007;30
5356;21/02/2008;47
5374;01/04/2007;70,922
5374;21/02/2008;47
5377;01/04/2007;70,922
5377;15/06/2007;3,5
5379;01/04/2007;86,709
5379;15/06/2007;4,5
5379;21/02/2008;47
5445;01/04/2007;1,25
5445;15/06/2007;0,8
5445;21/02/2008;47
5445;01/03/2008;1,25
5447;01/04/2007;86,709
5514;01/04/2007;168,112
5554;01/04/2007;58,839
5554;21/02/2008;47
5584;01/04/2007;71,318
5584;21/02/2008;47
5590;01/04/2007;71,318
5590;15/06/2007;3,5
5590;21/02/2008;47
5614;01/04/2007;189,263
5614;21/02/2008;47
5615;01/04/2007;189,263
5615;21/02/2008;47
5640;01/04/2007;31,5
5640;15/06/2007;12
5640;21/02/2008;47
5662;01/04/2007;37,8
5662;21/02/2008;47
5664;01/04/2007;31,5
5664;21/02/2008;47
5680;01/04/2007;45,099
5680;21/02/2008;47
5848;01/04/2007;189,263
5849;01/04/2007;189,263
5849;21/02/2008;47
5886;01/04/2007;168,112
5886;21/02/2008;47
5889;01/04/2007;36
5889;21/02/2008;47
5898;01/04/2007;6
5911;01/04/2007;2,5
5934;01/04/2007;67,544
5936;01/04/2007;70,922
6021;20/07/2008;0,803
6021;30/07/2008;0,803
6022;20/07/2008;0,803
6024;20/07/2008;0,803
6042;20/07/2008;0,513
6045;20/07/2008;0,513
6050;20/07/2008;0,704
6051;20/07/2008;0,704
6052;01/04/2011;0,8
6052;01/05/2012;0,76
6053;01/04/2011;0,8
6053;19/03/2012;0,76
6054;01/04/2011;0,8
6054;19/03/2012;0,76
6055;01/04/2011;0,8
6055;19/03/2012;0,76
6056;01/04/2011;1
6057;01/04/2011;1,2
6057;19/03/2012;1,15
6058;01/04/2011;1,2
6058;01/05/2012;1,15
6059;01/04/2011;0,8
6059;01/09/2012;0,78
6060;01/04/2011;0,8
6060;01/09/2012;0,78
6061;01/04/2011;1,3
6061;01/05/2012;1,23
6062;01/04/2011;1,3
6062;01/05/2012;1,23
6063;01/04/2011;1,3
6063;19/03/2012;1,23
6064;19/03/2012;1,15
6065;19/03/2012;1,15
6066;19/03/2012;1,15
6067;19/03/2012;0,72
6068;19/03/2012;0,72
6070;19/03/2012;0,76
6071;19/03/2012;1,23
6072;19/03/2012;1,15
6072;01/08/2012;1,2
6073;01/10/2012;1,2
6073;01/11/2012;1,2
6074;01/06/2012;0,72
6075;01/06/2012;0,72
6100;01/04/2012;0,78
6101;01/04/2012;0,78
6102;01/04/2012;0,78
6103;01/04/2012;0,78
6105;01/04/2012;1,26
6105;01/09/2012;1,25
6106;01/04/2012;1,26
6106;01/09/2012;1,25
6107;01/04/2012;0,88
6108;01/04/2012;0,88
6109;01/04/2012;1,38
6109;01/09/2012;1,37
6110;01/04/2012;1,38
6110;01/09/2012;1,37
6111;01/04/2012;1,38
6112;01/04/2012;1,26
6112;01/09/2012;1,25
6113;01/04/2012;1,26
6113;01/09/2012;1,25
6114;01/04/2012;1,26
6114;01/09/2012;1,25
6115;01/04/2012;0,88
6116;01/04/2012;0,88
6117;01/04/2012;0,88
6118;01/04/2012;0,78
6119;01/04/2012;1,38
6119;01/09/2012;1,37
6120;01/04/2012;1,28
6121;01/04/2012;1,28
6150;01/08/2012;1345628,78
6151;29/01/2013;112656,13
6999;01/09/2006;0,4
7001;01/10/2005;0,35
7001;01/01/2006;0,35
7001;13/07/2006;0,4
7002;01/10/2005;0,35
7002;01/01/2006;0,35
7002;13/07/2006;0,4
7003;01/10/2005;0,35
7003;01/01/2006;0,35
7003;13/07/2006;0,4
7004;01/10/2005;1,5
7004;13/07/2006;2,2
7004;23/04/2007;2,4
7004;23/07/2007;2,2
7005;01/10/2005;1,5
7005;13/07/2006;2,2
7005;23/04/2007;2,4
7005;23/07/2007;2,2
7006;01/10/2005;1,5
7006;13/07/2006;2,2
7006;23/04/2007;2,4
7006;23/07/2007;2,2
7007;01/01/2006;0,4
7007;18/03/2008;0,42
7008;01/01/2006;0,4
7008;18/03/2008;0,42
7009;01/01/2006;0,4
7009;18/03/2008;0,42
7010;01/10/2005;4,3
7010;01/01/2006;4,3
7010;08/01/2007;5
7010;18/03/2008;6,5
7011;01/10/2005;4,3
7011;01/01/2006;4,3
7011;08/01/2007;5
7011;18/03/2008;6,5
7012;01/10/2005;4,3
7012;01/01/2006;4,3
7012;08/01/2007;5
7012;18/03/2008;6,5
7013;01/10/2005;0,8
7013;22/08/2006;0,85
7013;22/09/2006;1
7013;01/03/2007;0,87
7013;18/03/2008;0,87
7013;03/12/2008;0,85
7013;17/08/2010;1,1
7013;21/02/2011;1,1
7014;01/10/2005;0,8
7014;22/08/2006;0,85
7014;22/09/2006;1
7014;01/03/2007;0,87
7014;18/03/2008;0,87
7014;03/12/2008;0,85
7014;17/08/2010;1,1
7014;21/02/2011;1,1
7015;01/10/2005;0,8
7015;22/08/2006;0,85
7015;22/09/2006;1
7015;01/03/2007;0,87
7015;18/03/2008;0,87
7015;03/12/2008;0,85
7015;17/08/2010;1,1
7015;21/02/2011;1,1
7016;01/01/2006;6,5
7016;18/03/2008;8
7017;01/01/2006;6,5
7017;18/03/2008;8
7018;01/01/2006;6,5
7018;18/03/2008;8
7019;01/01/2006;1,3
7019;01/03/2007;1,7
7019;12/06/2007;1,3
7019;18/03/2008;1,5
7020;01/01/2006;1,3
7020;01/03/2007;1,7
7020;12/06/2007;1,3
7020;18/03/2008;1,5
7021;01/01/2006;1,3
7021;01/03/2007;1,7
7021;12/06/2007;1,3
7021;18/03/2008;1,5
7022;26/06/2006;0,8
7022;13/08/2007;0,8
7022;18/03/2008;0,9
7022;02/05/2008;0,8
7023;26/06/2006;0,8
7023;13/08/2007;0,8
7023;18/03/2008;0,9
7023;02/05/2008;0,8
7024;26/06/2006;0,8
7024;13/08/2007;0,8
7024;18/03/2008;0,9
7024;02/05/2008;0,8
7026;01/10/2005;1,5
7026;13/07/2006;2,2
7026;23/04/2007;2,4
7026;23/07/2007;2,2
7030;25/06/2007;11
7030;18/03/2008;12
7030;21/02/2011;13,5
7031;25/06/2007;11
7031;18/03/2008;12
7031;21/02/2011;13,5
7032;25/06/2007;11
7032;18/03/2008;12
7032;21/02/2011;13,5
7033;16/06/2009;12
7033;21/02/2011;13,5
7034;01/02/2010;12
7035;25/06/2010;12
7035;21/02/2011;13
7036;25/06/2010;12
7036;21/02/2011;13
7037;06/07/2010;12
7037;21/02/2011;13
7040;23/12/2012;6,5
7063;13/12/2011;40
7065;01/12/2012;0,04
7080;09/09/2008;0,5
7080;12/10/2009;0,6
7080;21/02/2011;0,6
7081;26/10/2010;3,5
7081;21/02/2011;4
7112;01/06/2009;0,8
7550;15/03/2012;3,5
7551;15/03/2012;6
7552;15/03/2012;3,9
7553;15/03/2012;7,5
7554;15/03/2012;3,9
7555;15/03/2012;7,5
7556;15/03/2012;3,8
7557;15/03/2012;9,5
7558;15/03/2012;8,2
7559;15/03/2012;19
7560;15/03/2012;8,2
7561;15/03/2012;19
7562;15/03/2012;8,2
7563;15/03/2012;19
7564;15/03/2012;8,2
7565;15/03/2012;19
7566;15/03/2012;5,5
7567;15/03/2012;10
7568;15/03/2012;1,5
7569;15/03/2012;1,5
7570;15/03/2012;1,5
7571;15/03/2012;2,5
7572;15/03/2012;6,5
7573;15/03/2012;1,5
7574;15/03/2012;1,5
7575;15/03/2012;1,5
7576;15/03/2012;1,5
7577;01/08/2012;1,2
7578;01/08/2012;4,5
7579;01/08/2012;1,2
7580;01/08/2012;4,5
